At. Num,Ion Charge,Ground Shells,Ground Level,Ionization Energy (eV),Uncertainty (eV)
38,+19,[Ar].3d,2D<3/2>,(774),4
38,+20,[Ne].3s2.3p6,1S0,[932],3
38,+21,[Ne].3s2.3p5,2P*<3/2>,[982.1],1.1
38,+22,[Ne].3s2.3p4,3P<2>,[1038.0],1.5
38,+23,[Ne].3s2.3p3,4S*<3/2>,[1105],4
38,+24,[Ne].3s2.3p2,3P0,[1165],3
38,+25,[Ne].3s2.3p,2P*<1/2>,[1211],6
38,+26,[Ne].3s2,1S0,[1333.4],1.9
38,+27,[Ne].3s,2S<1/2>,[1387.19],0.05
38,+28,1s2.2s2.2p6,1S0,[3344.7],1.9
38,+29,1s2.2s2.2p5,2P*<3/2>,[3497],6
38,+30,1s2.2s2.2p4,3P<2>,[3664],8
38,+31,1s2.2s2.2p3,4S*<3/2>,[3830],30
38,+32,1s2.2s2.2p2,3P0,[4053],4
38,+33,1s2.2s2.2p,2P*<1/2>,[4232],3
38,+34,1s2.2s2,1S0,[4465],4
38,+35,1s2.2s,2S<1/2>,(4612.397),0.011
38,+36,1s2,1S0,(19345.590),0.005
38,+37,1s,2S<1/2>,(20025.2673),0.0024
39,0,[Kr].4d.5s2,2D<3/2>,6.21726,0.00010
39,+1,[Kr].5s2,1S0,12.2236,0.0006
39,+2,[Kr].4d,2D<3/2>,20.52441,0.00012
39,+3,[Ar].3d10.4s2.4p6,1S0,[60.6072],0.0025
39,+4,[Ar].3d10.4s2.4p5,2P*<3/2>,75.35,0.04
39,+5,[Ar].3d10.4s2.4p4,3P<2>,[91.390],0.025
39,+6,[Ar].3d10.4s2.4p3,4S*<3/2>,[110.02],0.15
39,+7,[Ar].3d10.4s2.4p2,3P0,[128.12],0.12
39,+8,[Ar].3d10.4s2.4p,2P*<1/2>,[145.64],0.04
39,+9,[Ar].3d10.4s2,1S0,[185.7],0.4
39,+10,[Ar].3d10.4s,2S<1/2>,205.814,0.025
39,+11,[Ar].3d10,1S0,374.04,0.25
39,+12,[Ar].3d9,2D<5/2>,(414),3
39,+13,[Ar].3d8,3F<4>,(463),3
39,+14,[Ar].3d7,4F<9/2>,(512),3
39,+15,[Ar].3d6,5D<4>,(559),3
39,+16,[Ar].3d5,6S<5/2>,(624),3
39,+17,[Ar].3d4,5D0,(677),3
39,+18,[Ar].3d3,4F<3/2>,(733),3
39,+19,[Ar].3d2,3F<2>,(790),4
39,+20,[Ar].3d,2D<3/2>,(847),4
39,+21,[Ne].3s2.3p6,1S0,[1010],3
39,+22,[Ne].3s2.3p5,2P*<3/2>,[1061.9],1.2
39,+23,[Ne].3s2.3p4,3P<2>,[1120.2],1.6
39,+24,[Ne].3s2.3p3,4S*<3/2>,[1190],4
39,+25,[Ne].3s2.3p2,3P0,[1253],3
39,+26,[Ne].3s2.3p,2P*<1/2>,[1300],6
39,+27,[Ne].3s2,1S0,[1427.6],2.0
39,+28,[Ne].3s,2S<1/2>,[1483.12],0.05
39,+29,1s2.2s2.2p6,1S0,[3562.9],2.0
39,+30,1s2.2s2.2p5,2P*<3/2>,[3720],6
39,+31,1s2.2s2.2p4,3P<2>,[3892],8
39,+32,1s2.2s2.2p3,"(0,3/2)*<3/2>",[4060],30
39,+33,1s2.2s2.2p2,3P0,[4299],5
39,+34,1s2.2s2.2p,2P*<1/2>,[4484],3
39,+35,1s2.2s2,1S0,[4724],5
39,+36,1s2.2s,2S<1/2>,(4875.731),0.012
39,+37,1s2,1S0,(20415.719),0.006
39,+38,1s,2S<1/2>,(21115.588),0.003
40,0,[Kr].4d2.5s2,3F<2>,6.634126,0.000005
40,+1,[Kr].4d2.5s,4F<3/2>,13.13,
40,+2,[Kr].4d2,3F<2>,[23.170],0.004
40,+3,[Kr].4d,2D<3/2>,34.41836,0.00006
40,+4,[Ar].3d10.4s2.4p6,1S0,[80.348],0.007
40,+5,[Ar].3d10.4s2.4p5,2P*<3/2>,[96.38],0.04
40,+6,[Ar].3d10.4s2.4p4,3P<2>,(112.0),2.0
40,+7,[Ar].3d10.4s2.4p3,4S*<3/2>,[133.7],0.5
40,+8,[Ar].3d10.4s2.4p2,3P0,(153.0),2.2
40,+9,[Ar].3d10.4s2.4p,2P*<1/2>,[172.02],0.05
40,+10,[Ar].3d10.4s2,1S0,[214.9],0.4
40,+11,[Ar].3d10.4s,2S<1/2>,236.252,0.025
40,+12,[Ar].3d10,1S0,(426),3
40,+13,[Ar].3d9,2D<5/2>,(470),3
40,+14,[Ar].3d8,3F<4>,(520),3
40,+15,[Ar].3d7,4F<9/2>,(573),3
40,+16,[Ar].3d6,5D<4>,(622),3
40,+17,[Ar].3d5,6S<5/2>,(690),3
40,+18,[Ar].3d4,5D0,(745),3
40,+19,[Ar].3d3,4F<3/2>,(803),4
40,+20,[Ar].3d2,3F<2>,(863),4
40,+21,[Ar].3d,2D<3/2>,(922),4
40,+22,[Ne].3s2.3p6,1S0,[1092],3
40,+23,[Ne].3s2.3p5,2P*<3/2>,[1144.7],1.2
40,+24,[Ne].3s2.3p4,3P<2>,[1205.4],1.7
40,+25,[Ne].3s2.3p3,4S*<3/2>,[1277],5
40,+26,[Ne].3s2.3p2,3P0,[1344],3
40,+27,[Ne].3s2.3p,2P*<1/2>,[1392],7
40,+28,[Ne].3s2,1S0,[1525.1],2.2
40,+29,[Ne].3s,2S<1/2>,[1582.37],0.05
40,+30,1s2.2s2.2p6,1S0,[3788.0],2.1
40,+31,1s2.2s2.2p5,2P*<3/2>,[3950],7
40,+32,1s2.2s2.2p4,3P<2>,[4127],9
40,+33,1s2.2s2.2p3,"(0,3/2)*<3/2>",[4300],30
40,+34,1s2.2s2.2p2,3P0,[4553],5
40,+35,1s2.2s2.2p,2P*<1/2>,[4744],3
40,+36,1s2.2s2,1S0,[4991],5
40,+37,1s2.2s,2S<1/2>,(5146.935),0.014
40,+38,1s2,1S0,(21516.471),0.006
40,+39,1s,2S<1/2>,(22236.712),0.004
41,0,[Kr].4d4.5s,6D<1/2>,6.75885,0.00004
41,+1,[Kr].4d4,5D0,[14.32],
41,+2,[Kr].4d3,4F<3/2>,[25.04],
41,+3,[Kr].4d2,3F<2>,37.611,0.022
41,+4,[Kr].4d,2D<3/2>,50.5728,0.0025
41,+5,[Ar].3d10.4s2.4p6,1S0,[102.069],0.006
41,+6,[Ar].3d10.4s2.4p5,2P*<3/2>,119.1,0.4
41,+7,[Ar].3d10.4s2.4p4,3P<2>,(136.0),2.1
41,+8,[Ar].3d10.4s2.4p3,4S*<3/2>,[159.2],0.7
41,+9,[Ar].3d10.4s2.4p2,3P0,(180.0),2.2
41,+10,[Ar].3d10.4s2.4p,2P*<1/2>,[200.28],0.06
41,+11,[Ar].3d10.4s2,1S0,[246.1],0.4
41,+12,[Ar].3d10.4s,2S<1/2>,268.59,0.04
41,+13,[Ar].3d10,1S0,[482.5],1.5
41,+14,[Ar].3d9,2D<5/2>,(530),3
41,+15,[Ar].3d8,3F<4>,(581),3
41,+16,[Ar].3d7,4F<9/2>,(636),3
41,+17,[Ar].3d6,5D<4>,(688),3
41,+18,[Ar].3d5,6S<5/2>,(758),3
41,+19,[Ar].3d4,5D0,(816),4
41,+20,[Ar].3d3,4F<3/2>,(877),4
41,+21,[Ar].3d2,3F<2>,(940),4
41,+22,[Ar].3d,2D<3/2>,(1000),4
41,+23,[Ne].3s2.3p6,1S0,[1176],4
41,+24,[Ne].3s2.3p5,2P*<3/2>,[1230.6],1.3
41,+25,[Ne].3s2.3p4,3P<2>,[1293.7],1.8
41,+26,[Ne].3s2.3p3,4S*<3/2>,[1368],5
41,+27,[Ne].3s2.3p2,3P0,[1439],3
41,+28,[Ne].3s2.3p,2P*<1/2>,[1488],7
41,+29,[Ne].3s2,1S0,[1625.9],2.3
41,+30,[Ne].3s,2S<1/2>,[1684.97],0.05
41,+31,1s2.2s2.2p6,1S0,[4020.1],2.2
41,+32,1s2.2s2.2p5,2P*<3/2>,[4187],7
41,+33,1s2.2s2.2p4,3P<2>,[4369],9
41,+34,1s2.2s2.2p3,"(0,3/2)*<3/2>",[4540],30
41,+35,1s2.2s2.2p2,3P0,[4815],5
41,+36,1s2.2s2.2p,2P*<1/2>,[5011],4
41,+37,1s2.2s2,1S0,[5265],5
41,+38,1s2.2s,2S<1/2>,(5426.066),0.015
41,+39,1s2,1S0,(22648.046),0.007
41,+40,1s,2S<1/2>,(23388.850),0.004
42,0,[Kr].4d5.5s,7S<3>,7.09243,0.00004
42,+1,[Kr].4d5,6S<5/2>,[16.16],0.12
42,+2,[Kr].4d4,5D0,[27.13],0.12
42,+3,[Kr].4d3,4F<3/2>,[40.33],0.06
42,+4,[Kr].4d2,3F<2>,[54.417],0.019
42,+5,[Kr].4d,2D<3/2>,68.82704,0.00021
42,+6,[Ar].3d10.4s2.4p6,1S0,[125.638],0.025
42,+7,[Ar].3d10.4s2.4p5,2P*<3/2>,143.6,1.0
